Gender,Stat,Age,5th,10th,25th,50th,75th,90th,95th
F,H,195.5,152.0465,154.3919,158.3146,162.6781,167.0466,170.9827,173.3402
F,H,196.5,152.0776,154.4238,158.3472,162.7109,167.0791,171.0144,173.3712
F,H,197.5,152.1072,154.454,158.3782,162.7421,167.11,171.0446,173.4007
F,H,198.5,152.1352,154.4827,158.4077,162.7719,167.1395,171.0733,173.4288
F,H,199.5,152.1617,154.51,158.4357,162.8002,167.1676,171.1007,173.4555
F,H,200.5,152.187,154.5359,158.4625,162.8273,167.1944,171.1268,173.481
F,H,201.5,152.211,154.5607,158.4879,162.8531,167.22,171.1517,173.5053
F,H,202.5,152.2339,154.5842,158.5123,162.8778,167.2444,171.1754,173.5284
F,H,203.5,152.2556,154.6067,158.5355,162.9013,167.2677,171.1981,173.5505
F,H,204.5,152.2764,154.6281,158.5577,162.9238,167.29,171.2198,173.5716
F,H,205.5,152.2962,154.6486,158.5789,162.9454,167.3114,171.2405,173.5918
F,H,206.5,152.3151,154.6681,158.5992,162.966,167.3318,171.2604,173.6111
F,H,207.5,152.3332,154.6868,158.6187,162.9858,167.3514,171.2793,173.6295
F,H,208.5,152.3504,154.7047,158.6373,163.0047,167.3701,171.2975,173.6471
F,H,209.5,152.3669,154.7218,158.6551,163.0228,167.3881,171.3149,173.664
F,H,210.5,152.3827,154.7382,158.6722,163.0402,167.4053,171.3315,173.6802
F,H,211.5,152.3979,154.754,158.6886,163.0569,167.4218,171.3475,173.6956
F,H,212.5,152.4124,154.769,158.7043,163.0729,167.4376,171.3628,173.7104
F,H,213.5,152.4263,154.7835,158.7194,163.0882,167.4528,171.3775,173.7246
F,H,214.5,152.4396,154.7974,158.7339,163.103,167.4674,171.3915,173.7382
F,H,215.5,152.4524,154.8107,158.7478,163.1172,167.4814,171.405,173.7513
F,H,216.5,152.4647,154.8235,158.7612,163.1308,167.4948,171.418,173.7638
F,H,217.5,152.4765,154.8358,158.774,163.1439,167.5078,171.4304,173.7758
F,H,218.5,152.4878,154.8476,158.7864,163.1565,167.5202,171.4424,173.7873
F,H,219.5,152.4987,154.859,158.7983,163.1686,167.5321,171.4538,173.7984
F,H,220.5,152.5092,154.8699,158.8097,163.1802,167.5436,171.4649,173.809
F,H,221.5,152.5192,154.8804,158.8207,163.1914,167.5546,171.4755,173.8192
F,H,222.5,152.5289,154.8905,158.8313,163.2022,167.5653,171.4856,173.829
F,H,223.5,152.5382,154.9003,158.8415,163.2126,167.5755,171.4954,173.8384
F,H,224.5,152.5472,154.9096,158.8514,163.2226,167.5853,171.5049,173.8474
F,H,225.5,152.5558,154.9187,158.8608,163.2322,167.5948,171.5139,173.8561
F,H,226.5,152.5641,154.9273,158.8699,163.2415,167.6039,171.5226,173.8645
F,H,227.5,152.5721,154.9357,158.8787,163.2504,167.6127,171.531,173.8725
F,H,228.5,152.5798,154.9438,158.8872,163.259,167.6211,171.5391,173.8802
F,H,229.5,152.5873,154.9516,158.8953,163.2673,167.6293,171.5468,173.8877
F,H,230.5,152.5944,154.959,158.9032,163.2753,167.6371,171.5543,173.8948
F,H,231.5,152.6013,154.9663,158.9107,163.283,167.6446,171.5615,173.9017
F,H,232.5,152.6079,154.9732,158.918,163.2904,167.6519,171.5684,173.9083
F,H,233.5,152.6143,154.9799,158.9251,163.2976,167.6589,171.5751,173.9147
F,H,234.5,152.6205,154.9864,158.9319,163.3045,167.6657,171.5815,173.9208
F,H,235.5,152.6265,154.9926,158.9384,163.3111,167.6722,171.5877,173.9267
F,H,236.5,152.6322,154.9986,158.9447,163.3175,167.6785,171.5937,173.9324
F,H,237.5,152.6377,155.0044,158.9508,163.3237,167.6845,171.5994,173.9379
F,H,238.5,152.6431,155.01,158.9567,163.3297,167.6904,171.6049,173.9432
F,H,239.5,152.6482,155.0154,158.9624,163.3354,167.696,171.6103,173.9482
F,H,240,152.6507,155.0181,158.9651,163.3383,167.6987,171.6129,173.9507
M,W,24,10.64009,11.05266,11.78598,12.67076,13.63692,14.5834,15.18777
M,W,24.5,10.70051,11.1149,11.85182,12.74154,13.71386,14.66716,15.2763
M,W,25.5,10.81958,11.23747,11.98142,12.88102,13.8659,14.83332,15.45242
M,W,26.5,10.93681,11.35806,12.10889,13.01842,14.01623,14.99848,15.62819
M,W,27.5,11.0528,11.47728,12.23491,13.1545,14.16567,15.16351,15.8045
M,W,28.5,11.16803,11.59567,12.36007,13.2899,14.31493,15.32917,15.98214
